trust_ppl_08,proud_08,geograph_01_08,geograph_02_08,sex_08,year_of_birth_08,education_08,school_08,allow_work_08,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_immigrants,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_gypsies
can't be too careful,undetermined,NA,NA,male,18-29 år,NA,NA,NA,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,undetermined,NA,NA,male,18-29 år,NA,NA,NA,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,undetermined,the whole world,Europe,male,40-49 år,NA,NA,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,NA,NA,female,18-29 år,NA,NA,NA,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,not very proud,Europe,own country,female,50-59 år,NA,NA,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,dont know,own country,male,30-39 år,NA,NA,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,NA,NA,male,18-29 år,NA,NA,NA,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own town,female,40-49 år,social- and health - 3-4 years,10th grade,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,own town,local region,male,40-49 år,skilled education,9th grade,limmit amount of foreigners in the country,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,male,50-59 år,special-worker-course,10th grade,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,local region,own country,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,very proud,local region,own country,female,60-69 år,NA,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,70 år +,NA,7th grade or less,everybody allowed,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
most can be trusted,quite proud,local region,own country,male,40-49 år,social- and health - 3-4 years,student or HF,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,male,70 år +,skilled education,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,50-59 år,skilled education,10th grade,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,very proud,own country,own town,female,60-69 år,NA,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,own country,local region,male,50-59 år,NA,student or HF,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,70 år +,NA,7th grade or less,allow as long as there is jobs for Danes,checked,not checked,checked,not checked,checked,not checked,checked,checked,not checked,not checked,checked,checked,checked,checked
most can be trusted,very proud,own country,local region,female,70 år +,technical - 2-3 years,real- girl- and preliminary examn,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,undetermined,own country,dont know,female,50-59 år,NA,9th grade,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,70 år +,skilled education,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,60-69 år,NA,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own country,Europe,female,60-69 år,NA,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,quite proud,own town,local region,male,40-49 år,NA,10th grade,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,40-49 år,NA,10th grade,forbid foreigners to enter the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,very proud,own town,local region,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,local region,own town,female,30-39 år,skilled education,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,the whole world,male,70 år +,skilled education,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,50-59 år,skilled education,7th grade or less,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,50-59 år,social- and health - 3-4 years,gymnasium or simmilar no examn,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own town,own country,female,30-39 år,education - 3-4 years,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,40-49 år,special-worker-course,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,70 år +,NA,7th grade or less,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,own town,local region,female,50-59 år,NA,10th grade,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own country,Europe,female,40-49 år,master from university,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,60-69 år,skilled education,real- girl- and preliminary examn,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,undetermined,own country,own town,male,40-49 år,skilled education,10th grade,everybody allowed,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,quite proud,local region,own country,male,70 år +,master from university,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,local region,own country,female,60-69 år,master from university,student or HF,everybody allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,50-59 år,special-worker-course,10th grade,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,local region,male,50-59 år,skilled education,student or HF,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,very proud,own country,Europe,female,60-69 år,other,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,50-59 år,short buisness or computer science,10th grade,allow as long as there is jobs for Danes,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own country,local region,female,50-59 år,education - 3-4 years,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,60-69 år,buisness or banking,real- girl- and preliminary examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,50-59 år,master from university,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own country,the whole world,male,40-49 år,NA,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,female,40-49 år,skilled education,gymnasium or simmilar no examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,70 år +,social- and health - 3-4 years,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,60-69 år,NA,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,male,40-49 år,education - 3-4 years,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
undetermined,very proud,own country,local region,male,70 år +,education - 3-4 years,real- girl- and preliminary examn,forbid foreigners to enter the country,checked,checked,checked,checked,not checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,checked
can't be too careful,very proud,own town,local region,male,50-59 år,skilled education,9th grade,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,quite proud,own town,own country,female,70 år +,skilled education,7th grade or less,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,quite proud,local region,own country,female,60-69 år,NA,7th grade or less,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
undetermined,quite proud,own country,NA,male,50-59 år,NA,7th grade or less,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,not very proud,local region,own country,male,70 år +,NA,real- girl- and preliminary examn,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,very proud,own town,local region,female,40-49 år,social- and health - 3-4 years,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,checked
most can be trusted,very proud,local region,own country,female,40-49 år,social- and health - 1 year,10th grade,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,male,50-59 år,skilled education,9th grade,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,local region,own country,female,40-49 år,skilled education,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own town,Europe,female,60-69 år,skilled education,9th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,local region,male,70 år +,skilled education,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,checked
most can be trusted,very proud,own country,local region,female,70 år +,NA,7th grade or less,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,checked,checked,not checked,checked,checked,checked,checked,checked,not checked,checked
most can be trusted,quite proud,local region,Europe,male,40-49 år,FE technical,student or HF,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,very proud,own town,local region,male,40-49 år,skilled education,9th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,local region,female,30-39 år,education - 3-4 years,student or HF,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,local region,own town,female,60-69 år,NA,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked,checked,checked,checked,not checked,checked
can't be too careful,undetermined,local region,Europe,male,50-59 år,social- and health - 1 year,other,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,Europe,male,60-69 år,skilled education,8th grade,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,not very proud,local region,own country,male,60-69 år,NA,7th grade or less,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,quite proud,own town,the whole world,female,70 år +,social- and health - 3-4 years,student or HF,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,own town,own country,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked
can't be too careful,quite proud,own town,local region,female,70 år +,education - 3-4 years,7th grade or less,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,60-69 år,skilled education,8th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,50-59 år,skilled education,9th grade,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,local region,own country,male,40-49 år,NA,10th grade,everybody allowed,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own town,own country,female,40-49 år,social- and health - 3-4 years,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,Europe,female,40-49 år,education - 3-4 years,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,male,60-69 år,skilled education,7th grade or less,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,50-59 år,NA,8th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,male,50-59 år,skilled education,9th grade,limmit amount of foreigners in the country,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,very proud,own town,local region,male,40-49 år,skilled education,9th grade,limmit amount of foreigners in the country,checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,female,60-69 år,social- and health - 3-4 years,middleschool examn,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,local region,own country,male,60-69 år,NA,7th grade or less,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,50-59 år,FE technical,9th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,Europe,female,40-49 år,social- and health - 3-4 years,student or HF,NA,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,not very proud,own town,local region,female,40-49 år,NA,NA,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,own town,local region,female,40-49 år,NA,NA,allow as long as there is jobs for Danes,checked,checked,checked,checked,checked,checked,checked,not checked,not checked,checked,checked,checked,checked,checked
can't be too careful,very proud,own country,own town,male,40-49 år,NA,9th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,not checked
most can be trusted,not very proud,local region,own country,female,50-59 år,education - 3-4 years,student or HF,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,own town,local region,male,70 år +,skilled education,7th grade or less,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,quite proud,own town,local region,male,70 år +,skilled education,7th grade or less,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,70 år +,skilled education,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,female,40-49 år,social- and health - 3-4 years,student or HF,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,male,50-59 år,skilled education,8th grade,limmit amount of foreigners in the country,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own country,Europe,male,50-59 år,master from university,student or HF,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,checked
most can be trusted,very proud,own country,Europe,male,40-49 år,skilled education,9th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,male,40-49 år,skilled education,9th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,local region,male,70 år +,NA,middleschool examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,own town,male,70 år +,military education,middleschool examn,allow as long as there is jobs for Danes,not checked,not checked,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,checked
most can be trusted,quite proud,the whole world,Europe,female,70 år +,technical - 2-3 years,real- girl- and preliminary examn,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,undetermined,dont know,dont know,female,70 år +,NA,7th grade or less,NA,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own town,own country,female,60-69 år,skilled education,real- girl- and preliminary examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,Europe,female,70 år +,master from university,student or HF,everybody allowed,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,quite proud,own country,own town,male,70 år +,master from university,student or HF,limmit amount of foreigners in the country,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,male,70 år +,buisness or banking,student or HF,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,the whole world,local region,female,40-49 år,education - 3-4 years,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,own town,female,40-49 år,social- and health - 3-4 years,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not at all proud,own town,own country,female,40-49 år,education - 3-4 years,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,40-49 år,education - 3-4 years,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,male,40-49 år,military education,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,50-59 år,skilled education,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked,not checked
can't be too careful,very proud,own country,Europe,male,70 år +,master from university,student or HF,limmit amount of foreigners in the country,checked,not checked,checked,checked,not checked,not checked,checked,checked,not checked,checked,checked,not checked,not checked,checked
most can be trusted,not very proud,local region,Europe,male,40-49 år,master from university,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,male,70 år +,skilled education,10th grade,limmit amount of foreigners in the country,checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,40-49 år,social- and health - 3-4 years,student or HF,everybody allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,60-69 år,social- and health - 1 year,8th grade,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own country,Europe,male,60-69 år,education - 3-4 years,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,own town,own country,male,70 år +,NA,7th grade or less,everybody allowed,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own country,Europe,male,30-39 år,master from university,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,60-69 år,social- and health - 3-4 years,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,the whole world,male,60-69 år,skilled education,7th grade or less,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own country,Europe,female,70 år +,NA,7th grade or less,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked,checked,checked,checked,checked,checked
most can be trusted,quite proud,own town,own country,male,40-49 år,NA,10th grade,allow as long as there is jobs for Danes,checked,not checked,checked,checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,60-69 år,short buisness or computer science,8th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own country,own town,male,60-69 år,FE technical,9th grade,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
