trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
can't be too careful,not at all proud,C1,own country,own town,male,45,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C1,local region,own country,female (working),58,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,C2,own town,own country,male,13,skilled manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,AB,own town,own country,male,45,mdl. lvl. non-manual,18,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not very proud,AB,own town,own country,female (housewife),36,small buisnessowner,17,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own country,own town,male,29,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,own country,male,13,skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked
can't be too careful,not very proud,C1,own country,the whole world,female (housewife),56,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,own country,female (housewife),27,NA,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked
most can be trusted,not very proud,DE,own town,own country,female (housewife),48,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C1,own town,the whole world,female (housewife),52,mdl. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,own town,female (working),55,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,own town,own country,female (housewife),56,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own town,own country,male,40,skilled manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,DE,the whole world,own town,male,57,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C1,own town,own country,male,55,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,DE,the whole world,own town,male,55,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,C1,own country,local region,female (working),50,supervisor manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,own town,female (housewife),49,NA,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,quite proud,C1,own town,local region,male,47,small buisnessowner,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,AB,own town,local region,male,35,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,own town,female (housewife),0,jun. lvl. non-manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,local region,own country,male,59,unskilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,the whole world,male,59,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked
can't be too careful,quite proud,C1,own country,the whole world,male,49,small buisnessowner,15,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C2,local region,the whole world,female (housewife),22,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,female (housewife),47,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C2,own country,own town,female (housewife),60,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,local region,female (working),51,skilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own country,local region,female (housewife),48,NA,16,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C1,local region,own town,female (working),51,jun. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own town,own country,female (housewife),12,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not at all proud,C1,NA,NA,female (housewife),33,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,DE,own country,Europe,female (housewife),4,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked
undetermined,quite proud,C2,own country,the whole world,female (housewife),38,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,own town,female (working),53,semi-skilled manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,C2,own town,local region,male,46,skilled manual,17,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own town,local region,male,57,jun. lvl. non-manual,17,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,AB,own country,own town,male,50,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,AB,own town,own country,male,44,mdl. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own town,own country,male,50,skilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,own town,female (working),53,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,own town,male,40,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,local region,own country,female (working),51,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C2,own country,own town,female (working),61,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,own town,female (working),54,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C2,own town,local region,male,43,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,DE,own town,own country,female (working),24,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,AB,own country,Europe,male,35,prof. worker,21 or over,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,"NA",AB,own country,local region,male,63,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own town,local region,male,4,semi-skilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
can't be too careful,quite proud,C1,local region,own country,male,49,jun. lvl. non-manual,18,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,own town,own country,male,49,jun. lvl. non-manual,18,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,DE,own country,own town,male,53,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own country,Europe,male,55,unskilled manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own town,own country,male,55,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not very proud,DE,own country,local region,male,60,NA,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own town,local region,male,32,farmers,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C2,own town,local region,female (working),44,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C1,own country,local region,female (working),51,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C2,own country,own town,male,42,skilled manual,20,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,C2,own town,local region,female (housewife),30,NA,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked
can't be too careful,quite proud,C2,local region,own country,male,51,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not at all proud,C1,own country,own town,male,16,small buisnessowner,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own country,local region,female (working),33,skilled manual,21 or over,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,not very proud,AB,Europe,own country,male,41,prof. worker,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,AB,Europe,own country,female (housewife),41,NA,20,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,C2,own town,own country,male,59,skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,female (working),53,skilled manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C1,local region,NA,female (housewife),62,NA,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own country,the whole world,male,46,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,C2,local region,own country,female (housewife),24,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,local region,male,52,semi-skilled manual,13,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,quite proud,C2,own town,own country,female (housewife),39,skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,own country,female (working),38,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,local region,male,32,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C2,own town,own country,male,45,skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not at all proud,AB,own country,local region,female (working),34,farmers,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not at all proud,AB,own country,own town,male,54,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own country,own town,female (housewife),48,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own town,own country,male,41,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,AB,own town,own country,female (housewife),48,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,own town,male,53,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,C2,the whole world,own town,male,44,skilled manual,19,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,AB,own town,own country,male,90,farmers,20,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked
undetermined,not very proud,C2,own town,local region,female (housewife),59,unskilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,NA,female (housewife),29,NA,15,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,C1,local region,own country,female (housewife),12,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,the whole world,female (working),46,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,the whole world,Europe,female (working),39,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C1,own town,local region,female (housewife),3,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own country,own town,female (housewife),27,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own town,local region,female (housewife),19,supervisor manual,19,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,DE,Europe,own town,female (housewife),24,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,AB,own town,own country,male,24,mdl. lvl. non-manual,14,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,C1,own town,local region,male,19,farmers,21 or over,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,C2,own town,own country,male,2,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C1,own town,own country,female (housewife),39,small buisnessowner,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own town,own country,female (housewife),38,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,NA,NA,female (working),28,jun. lvl. non-manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,DE,local region,own country,male,61,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,"NA",C2,NA,NA,female (working),53,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,the whole world,own country,male,19,semi-skilled manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,C2,own country,local region,male,56,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,DE,own town,local region,female (housewife),19,unskilled manual,13,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,C1,own town,own country,male,23,farmers,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own country,Europe,male,45,supervisor manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,own country,female (housewife),45,farmers,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C2,own town,Europe,male,44,semi-skilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,DE,own town,the whole world,female (working),53,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own town,own country,female (working),48,jun. lvl. non-manual,19,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked
can't be too careful,not at all proud,C2,own town,own country,male,58,skilled manual,19,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own country,Europe,female (working),26,jun. lvl. non-manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,Europe,male,55,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
undetermined,not very proud,C1,own town,own country,female (housewife),5,jun. lvl. non-manual,16,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,own country,own town,female (working),47,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,AB,own country,Europe,female (working),36,prof. worker,21 or over,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,not very proud,AB,own town,local region,male,32,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,C2,own town,own country,female (working),27,semi-skilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own town,own country,male,15,jun. lvl. non-manual,19,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,own town,own country,male,56,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own town,local region,male,24,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own town,own country,male,53,small buisnessowner,20,checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,own town,own country,female (housewife),0,small buisnessowner,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own town,local region,female (housewife),16,jun. lvl. non-manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,local region,own country,male,58,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own town,local region,male,44,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,local region,female (housewife),31,jun. lvl. non-manual,17,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,DE,own town,local region,male,39,unskilled manual,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,DE,own town,local region,female (working),25,unskilled manual,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,local region,own town,male,19,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
undetermined,not at all proud,C2,own town,own country,female (housewife),4,skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,NA,female (housewife),11,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,DE,own town,local region,male,41,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own country,own town,male,50,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,local region,male,37,small buisnessowner,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,local region,female (working),44,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,own country,female (housewife),31,farmers,20,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,local region,own country,male,37,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,own country,female (housewife),27,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,Europe,male,62,semi-skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C1,own town,own country,female (working),43,jun. lvl. non-manual,19,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,C1,own town,Europe,female (working),58,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,DE,own country,own town,male,19,unskilled manual,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked
most can be trusted,not very proud,C1,own country,own town,male,53,NA,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,DE,own country,NA,female (working),60,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own country,own town,male,58,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,AB,own country,NA,female (working),55,jun. lvl. non-manual,15,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own country,own town,female (working),59,jun. lvl. non-manual,18,checked,checked,not checked,checked,not checked,checked,checked,checked,checked,not checked,checked
can't be too careful,not very proud,AB,own country,own town,male,50,mdl. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C1,own country,own town,male,51,jun. lvl. non-manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,own country,female (housewife),20,unskilled manual,16,not checked,checked,not checked,checked,not checked,not checked,checked,checked,checked,checked,not checked
can't be too careful,quite proud,DE,own country,own town,female (housewife),18,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,AB,own country,own town,male,26,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,own town,female (working),54,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,local region,own town,male,58,unskilled manual,16,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,C2,own town,own country,male,58,semi-skilled manual,15,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,not very proud,DE,own town,own country,female (working),40,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C2,own town,own country,female (working),45,skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,own town,female (housewife),19,unskilled manual,15,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked
can't be too careful,quite proud,C2,own town,own country,male,8,skilled manual,19,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked
can't be too careful,quite proud,C2,own country,own town,male,10,skilled manual,19,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked
can't be too careful,not very proud,C1,NA,NA,female (housewife),60,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C2,own country,local region,female (housewife),26,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,NA,male,23,small buisnessowner,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,Europe,own country,female (working),40,mdl. lvl. non-manual,18,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own country,Europe,male,39,small buisnessowner,15,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,DE,own town,own country,female (housewife),12,unskilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not at all proud,C1,own town,own country,male,37,small buisnessowner,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own country,own town,male,46,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C2,own town,local region,male,48,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,local region,own country,male,38,farmers,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,local region,own country,male,56,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,local region,own country,female (working),48,semi-skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own country,own town,male,25,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,own town,female (working),61,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked
can't be too careful,not very proud,C2,own town,local region,female (housewife),46,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,local region,female (housewife),55,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,"NA",C2,own town,NA,female (housewife),28,NA,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,C2,own town,own country,male,51,skilled manual,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,C2,NA,NA,female (housewife),11,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C1,local region,own town,female (housewife),16,jun. lvl. non-manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,not very proud,C1,own town,own country,female (housewife),42,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
