trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
most can be trusted,not very proud,C1,the whole world,own country,male,61,jun. lvl. non-manual,20,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked
can't be too careful,quite proud,AB,own country,NA,male,60,mdl. lvl. non-manual,20,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not at all proud,C1,the whole world,NA,male,62,skilled manual,18,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,not at all proud,C1,own country,the whole world,male,60,skilled manual,19,checked,checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked
undetermined,not very proud,C1,own town,local region,female (working),59,jun. lvl. non-manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,C2,local region,own country,female (working),60,skilled manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,AB,own town,Europe,female (housewife),62,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,local region,own town,female (working),58,NA,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not very proud,C1,own town,own country,female (working),57,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,the whole world,NA,female (working),57,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own town,own country,female (working),62,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C2,own country,the whole world,male,62,NA,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked
