trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
can't be too careful,very proud,own town,own country,female,11,non-skilled,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not at all proud,own town,own country,female,12,small buisnessowner,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,12,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,12,wife,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,undetermined,NA,NA,female,13,small buisnessowner,NA,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,checked,checked,not checked
most can be trusted,very proud,own town,own country,female,13,skilled,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,dont know,dont know,female,14,non-skilled,NA,7th grade or less,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own country,the whole world,female,15,small buisnessowner,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,15,NA,NA,7th grade or less,not allowed,checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,checked,not checked,not checked
most can be trusted,quite proud,local region,Europe,female,15,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,own country,female,15,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,own town,own country,female,15,non-skilled,skilled education,8th grade,either or,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,16,NA,NA,7th grade or less,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,16,wife,skilled education,7th grade or less,allowed,not checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,not checked,checked,checked,not checked,checked,not checked
can't be too careful,quite proud,own country,own town,female,16,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,checked,not checked
most can be trusted,very proud,own town,local region,female,16,wife,NA,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
