trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
most can be trusted,quite proud,own country,local region,female,40,functionary without education,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own country,Europe,female,40,wife,skilled education,real- girl- and preliminary examn,not allowed,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,the whole world,female,41,small buisnessowner,other,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,own country,female,41,functionary with education,skilled education,real- girl- and preliminary examn,not allowed,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,own country,female,41,functionary with education,technical - 2-3 years,gymnasium or simmilar no examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,local region,female,41,non-skilled,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,Europe,female,41,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,dont know,female,41,small buisnessowner,buisness or banking,gymnasium or simmilar no examn,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,41,non-skilled,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Europe,own country,female,41,functionary without education,technical - 2-3 years,middleschool examn,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,41,wife,NA,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,41,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,the whole world,female,42,non-skilled,NA,other,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own town,own country,female,42,functionary without education,NA,student or HF,allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,42,skilled,technical - 2-3 years,8th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,42,non-skilled,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,42,functionary without education,social- and health - 1 year,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,42,wife,NA,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,very proud,own country,local region,female,42,leading functionary,education - 3-4 years,real- girl- and preliminary examn,dont know,checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,local region,own country,female,42,functionary with education,master from university,student or HF,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,43,functionary without education,NA,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,local region,own town,female,43,skilled,skilled education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,43,functionary with education,education - 3-4 years,real- girl- and preliminary examn,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,local region,female,43,non-skilled,special-worker-course,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,43,skilled,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,local region,female,43,small buisnessowner,short buisness or computer science,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own town,female,43,leading functionary,education - 3-4 years,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own country,own town,female,43,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,44,wife,social- and health - 1 year,middleschool examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own country,own town,female,44,non-skilled,skilled education,7th grade or less,allowed,not checked,not checked,checked,checked,checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,female,44,functionary with education,social- and health - 1 year,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,44,functionary with education,social- and health - 1 year,7th grade or less,either or,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,44,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,44,self-supporting akademic,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,local region,own country,female,44,functionary with education,social- and health - 1 year,8th grade,either or,checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,female,44,functionary with education,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,44,functionary without education,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,44,non-skilled,NA,8th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,female,44,functionary with education,education - 3-4 years,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,44,functionary with education,skilled education,technical examn,not allowed,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,local region,female,44,leading functionary,skilled education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own town,female,44,small buisnessowner,skilled education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,44,wife,skilled education,8th grade,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own town,local region,female,45,functionary with education,social- and health - 1 year,7th grade or less,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,45,functionary with education,skilled education,technical examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,own country,female,45,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,45,functionary with education,social- and health - 1 year,real- girl- and preliminary examn,allowed,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,local region,female,45,functionary without education,NA,7th grade or less,dont know,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,45,wife,skilled education,middleschool examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not danish,own town,the whole world,female,45,functionary with education,education - 3-4 years,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,female,45,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,45,functionary with education,skilled education,real- girl- and preliminary examn,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,45,leading functionary,social- and health - 3-4 years,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,local region,own country,female,45,functionary with education,master from university,student or HF,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not at all proud,own town,own country,female,45,functionary with education,education - 3-4 years,student or HF,allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,local region,female,46,functionary with education,skilled education,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own town,female,46,functionary with education,other,8th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,female,46,non-skilled,technical - 2-3 years,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,the whole world,female,46,functionary with education,technical - 2-3 years,real- girl- and preliminary examn,allowed,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,own country,female,46,non-skilled,NA,other,dont know,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,47,wife,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,the whole world,female,47,functionary with education,education - 3-4 years,student or HF,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,local region,own country,female,47,functionary with education,education - 3-4 years,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,dont know,female,47,functionary with education,education - 3-4 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,47,wife,technical - 2-3 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,47,small buisnessowner,skilled education,2nd real,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own town,local region,female,47,wife,skilled education,7th grade or less,dont know,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,dont know,female,47,functionary with education,social- and health - 3-4 years,8th grade,either or,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,the whole world,female,47,functionary without education,short buisness or computer science,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own country,local region,female,48,functionary with education,skilled education,7th grade or less,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,Europe,female,48,functionary with education,technical - 2-3 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,local region,female,48,functionary with education,other,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,local region,own town,female,48,functionary with education,skilled education,9th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,48,functionary with education,skilled education,8th grade,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,quite proud,own town,own country,female,48,functionary with education,short buisness or computer science,8th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,female,48,functionary with education,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own town,own country,female,48,functionary with education,education - 3-4 years,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own country,own town,female,48,functionary without education,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,48,functionary without education,NA,9th grade,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,48,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,local region,Europe,female,48,non-skilled,NA,7th grade or less,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,48,non-skilled,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,Europe,female,48,specialworker,skilled education,9th grade,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,own country,female,48,functionary without education,NA,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own town,local region,female,48,specialworker,skilled education,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,49,non-skilled,NA,9th grade,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,female,49,functionary with education,buisness or banking,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,49,functionary with education,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own town,local region,female,49,functionary with education,buisness or banking,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,49,non-skilled,NA,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,Europe,female,49,functionary without education,NA,10th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,49,functionary with education,short buisness or computer science,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,the whole world,female,49,functionary without education,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own country,local region,female,49,functionary with education,social- and health - 1 year,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,49,functionary with education,technical - 2-3 years,real- girl- and preliminary examn,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,female,49,functionary with education,social- and health - 1 year,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,female,50,large buisnessowner,NA,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,local region,own town,female,50,functionary with education,social- and health - 1 year,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,female,50,leading functionary,social- and health - 3-4 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,50,specialworker,NA,7th grade or less,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
undetermined,very proud,own town,own country,female,50,functionary with education,skilled education,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,50,functionary with education,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,50,wife,NA,8th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,female,50,specialworker,NA,1st real,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,50,leading functionary,education - 3-4 years,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,local region,female,50,non-skilled,skilled education,real- girl- and preliminary examn,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,51,functionary with education,social- and health - 1 year,real- girl- and preliminary examn,either or,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,51,small buisnessowner,NA,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,51,leading functionary,social- and health - 3-4 years,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,female,51,non-skilled,NA,7th grade or less,allowed,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,the whole world,female,51,functionary with education,skilled education,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not danish,own town,local region,female,52,non-skilled,NA,other,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,female,52,non-skilled,NA,9th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,local region,own country,female,52,skilled,skilled education,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,local region,female,52,functionary with education,social- and health - 3-4 years,real- girl- and preliminary examn,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,52,non-skilled,skilled education,10th grade,dont know,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,female,53,functionary with education,technical - 2-3 years,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own town,local region,female,53,functionary with education,skilled education,9th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,female,53,functionary with education,technical - 2-3 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,53,functionary with education,social- and health - 1 year,8th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,dont know,female,53,NA,NA,other,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,53,functionary with education,short buisness or computer science,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,female,53,functionary with education,NA,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,own town,local region,female,53,functionary with education,social- and health - 1 year,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,local region,own country,female,53,non-skilled,skilled education,9th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,female,53,functionary with education,skilled education,9th grade,allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,53,functionary with education,skilled education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,female,53,functionary with education,social- and health - 1 year,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,dont know,female,53,functionary with education,technical - 2-3 years,real- girl- and preliminary examn,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,54,non-skilled,other,9th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not at all proud,own country,local region,female,54,functionary without education,NA,real- girl- and preliminary examn,not allowed,checked,checked,not checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,checked,not checked,checked,not checked
most can be trusted,quite proud,own country,own town,female,54,functionary with education,short buisness or computer science,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,female,54,non-skilled,NA,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
